State,Votes.x,Winning.Party.x,Population.x,BIO.x,COW.x,GEO.x,HYC.x,NG-.x,NUC.x,OOG.x,PC-.x,PEL.x,TSN.x,WND.x,total.x,BIO.y,COW.y,GEO.y,HYC.y,NG-.y,NUC.y,OOG.y,PC-.y,PEL.y,TSN.y,WND.y,total.y,BIO.c,COW.c,GEO.c,HYC.c,NG-.c,NUC.c,OOG.c,PC-.c,TSN.c,WND.c,total.c
Alabama,9,Republicans,4447100,3258,34284,0,7721,57750,39902,28,0,48,35,0,142978,3289,41410,0,9862,55844,41951,36,0,84,3,0,152395,-31,-7126,0,-2141,1906,-2049,-8,0,32,0,-9417
Alaska,3,Republicans,626932,51,541,0,1549,2323,0,0,0,787,0,164,4628,55,668,0,1569,3090,0,0,0,747,0,160,5542,-4,-127,0,-20,-767,0,0,0,0,4,-914
Arizona,11,Republicans,5130632,219,30403,0,7158,34205,32377,0,0,52,5408,543,110313,227,36167,0,6536,33657,32526,0,0,48,4827,452,114392,-8,-5764,0,622,548,-149,0,0,581,91,-4079
Arkansas,6,Republicans,2673400,1402,23800,0,3418,18259,13421,0,0,42,37,0,60337,1441,21740,0,3569,14866,13838,0,0,60,6,0,55460,-39,2060,0,-151,3393,-417,0,0,31,0,4877
California,55,Democrats,33871648,6066,319,12469,28945,97531,18908,1439,0,93,27432,13698,206807,6468,298,11883,13808,116140,18505,1549,0,85,20829,12230,201710,-402,21,586,15137,-18609,403,-110,0,6603,1468,5097
Colorado,9,Democrats,4301261,0,29980,0,1918,12668,0,0,0,10,1020,9425,55011,81,31541,0,1620,11644,0,0,0,7,643,7475,53004,-81,-1561,0,298,1024,0,0,0,377,1950,2007
Connecticut,7,Democrats,3405565,869,177,0,286,17808,16575,0,0,100,347,14,36076,787,600,0,302,17362,17411,0,0,437,216,0,36678,82,-423,0,-16,446,-836,0,0,131,14,-602
Delaware,3,Democrats,783600,75,479,0,0,7819,0,277,0,54,172,0,8822,76,599,0,0,6689,0,238,0,154,128,5,7735,-1,-120,0,0,1130,0,39,0,44,-5,1087
Florida,29,Republicans,15982378,4560,39425,0,219,158208,29320,5,2048,767,601,0,234386,4919,42904,0,244,155824,28122,5,1568,582,380,0,233966,-359,-3479,0,-25,2384,1198,0,480,221,0,420
Georgia,16,Republicans,8186453,4657,37890,0,3082,52979,34481,0,97,121,1076,0,134262,4734,37131,0,2984,50469,33838,0,113,147,229,0,129498,-77,759,0,98,2510,643,0,-16,847,0,4764
Hawaii,4,Democrats,1211537,322,1519,260,118,0,0,42,0,6401,821,644,3726,321,1337,230,121,0,0,50,0,7023,687,613,3359,1,182,30,-3,0,0,-8,0,134,31,367
Idaho,4,Republicans,1293953,584,61,97,9446,3290,0,0,0,0,39,2427,15944,601,79,76,8757,3804,0,0,0,0,6,2270,15593,-17,-18,21,689,-514,0,0,0,33,157,351
Illinois,20,Democrats,12419293,573,59315,0,129,17416,98240,282,0,65,95,10627,186677,527,73774,0,124,10864,97282,280,0,56,76,10747,193674,46,-14459,0,5,6552,958,2,0,19,-120,-6997
Indiana,11,Republicans,6080485,448,72582,0,415,20118,0,2114,497,113,285,4903,101362,446,78231,0,381,16263,0,2269,1179,159,168,4515,103452,2,-5649,0,34,3855,0,-155,-682,117,388,-2090
Iowa,6,Republicans,2926324,0,25601,0,956,3088,4703,0,62,73,56,20049,54515,258,29811,0,960,2398,5243,0,46,64,41,17873,56630,-258,-4210,0,-4,690,-540,0,16,15,2176,-2115
Kansas,6,Republicans,2688418,71,23096,0,0,2130,8246,0,0,28,12,14113,47668,62,24593,0,19,1174,8630,0,0,49,6,10999,45483,9,-1497,0,-19,956,-384,0,0,6,3114,2185
Kentucky,8,Republicans,4041769,452,66889,0,3450,8255,0,0,1130,106,29,0,80205,441,72620,0,3403,5950,0,0,964,113,14,0,83392,11,-5731,0,47,2305,0,0,166,15,0,-3187
Louisiana,8,Republicans,4468976,2687,12014,0,1103,66194,17152,2090,4771,15,194,0,106205,2705,15165,0,999,66211,15301,2401,4165,78,153,0,107100,-18,-3151,0,104,-17,1851,-311,606,41,0,-895
Maine,3,Democrats,1274923,2826,70,0,2968,3691,0,0,0,120,29,1614,11198,3153,92,0,3361,2952,0,0,0,548,19,1296,10873,-327,-22,0,-393,739,0,0,0,10,318,325
Maryland,10,Democrats,5296486,547,13826,0,1397,5461,14760,0,0,176,913,527,37431,514,13926,0,1623,4555,14643,0,0,232,457,435,36153,33,-100,0,-226,906,117,0,0,456,92,1278
Massachusetts,11,Democrats,6349097,1194,1892,0,770,21415,5414,0,0,438,1949,237,32871,1167,2253,0,827,21007,4995,0,0,777,1314,215,31778,27,-361,0,-57,408,419,0,0,635,22,1093
Michigan,16,Republicans,9938444,2503,40560,0,1548,29831,31552,1615,711,121,60,4693,113073,2485,52884,0,1499,20045,29334,1213,718,109,39,4797,113014,18,-12324,0,49,9786,2218,402,-7,21,-104,59
Mississippi,6,Republicans,2844658,1493,5342,0,0,50150,5897,0,0,17,5,0,62887,1507,6400,0,0,45117,11715,0,0,14,2,0,64741,-14,-1058,0,0,5033,-5818,0,0,3,0,-1854
Minnesota,10,Democrats,4919479,1806,23484,0,884,9018,13861,0,0,31,57,10637,59747,1806,24697,0,849,7389,12039,0,0,28,28,9779,56587,0,-1213,0,35,1629,1822,0,0,29,858,3160
Missouri,10,Republicans,5595211,147,60599,0,1237,6082,9430,0,0,77,210,1123,78828,129,65326,0,1595,4596,10440,0,0,99,162,1033,83281,18,-4727,0,-358,1486,-1010,0,0,48,90,-4453
Montana,3,Republicans,902195,22,14329,0,10183,694,0,9,443,17,11,2130,27821,21,16013,0,9888,599,0,17,483,14,8,1965,28994,1,-1684,0,295,95,0,-8,-40,3,165,-1173
Nebraska,5,Republicans,1711263,94,21914,0,1725,714,9351,0,0,6,8,3793,37599,71,24185,0,1685,431,10325,0,0,6,1,3180,39878,23,-2271,0,40,283,-974,0,0,7,613,-2279
Nevada,6,Democrats,1998257,26,2167,3848,1767,28839,0,1,0,11,2918,344,39910,26,2657,3111,2264,29000,0,6,0,16,1844,310,39218,0,-490,737,-497,-161,0,-5,0,1074,34,692
New Hampshire,4,Democrats,1235786,1675,422,0,1121,4739,10761,0,0,30,54,447,19219,1624,937,0,1270,6052,9484,0,0,176,24,423,19814,51,-515,0,-149,-1313,1277,0,0,30,24,-595
New Jersey,14,Democrats,8414350,967,1315,0,0,43643,29885,222,74,92,2746,22,78874,946,1759,0,10,36974,33262,221,71,304,2062,22,75327,21,-444,0,-10,6669,-3377,1,3,684,0,3547
New Mexico,5,Democrats,1819046,18,18365,16,146,9997,0,0,0,50,976,3614,33132,20,20440,10,99,9365,0,0,0,63,757,2090,32781,-2,-2075,6,47,632,0,0,0,219,1524,351
New York,29,Democrats,18976457,2290,1770,0,26604,56798,41571,0,0,654,1067,3946,134046,2241,2380,0,26015,56923,44603,0,0,1892,689,3977,136828,49,-610,0,589,-125,-3032,0,0,378,-31,-2782
North Carolina,15,Republicans,8049313,2423,37539,0,4529,39386,42786,0,0,284,4016,6,130685,2589,39922,0,4742,36545,42097,0,0,435,1460,0,127355,-166,-2383,0,-213,2841,689,0,0,2556,6,3330
North Dakota,3,Republicans,642200,11,26589,0,1912,872,0,46,0,30,0,8080,37510,4,27734,0,2094,711,0,39,0,26,0,6506,37088,7,-1145,0,-182,161,0,7,0,0,1574,422
Ohio,18,Republicans,11353140,764,68944,0,517,28866,16817,902,969,215,193,1255,119227,799,71710,0,457,28034,17377,945,1097,220,151,1203,121773,-35,-2766,0,60,832,-560,-43,-128,42,52,-2546
Oklahoma,7,Republicans,3450654,313,19164,0,2382,36381,0,0,0,18,11,19913,78164,336,24867,0,2664,34286,0,0,0,11,5,14031,76189,-23,-5703,0,-282,2095,0,0,0,6,5882,1975
Oregon,7,Democrats,3421399,992,1898,197,33700,15353,0,0,0,5,183,7163,59486,1116,2377,179,31254,16237,0,0,0,6,116,6632,57911,-124,-479,18,2446,-884,0,0,0,67,531,1575
Pennsylvania,20,Republicans,12281054,2382,54453,0,2376,67866,82924,498,189,267,383,3472,214543,2404,64637,0,2604,59455,80517,420,158,571,325,3353,213873,-22,-10184,0,-228,8411,2407,78,31,58,119,670
Rhode Island,4,Democrats,1048319,205,0,0,0,6296,0,0,0,32,41,33,6575,211,0,0,3,6586,0,0,0,114,28,10,6838,-6,0,0,-3,-290,0,0,0,13,23,-263
South Carolina,9,Republicans,4012012,2372,21006,0,2399,16173,55826,0,0,117,35,0,97811,2289,22631,0,2564,16549,53156,0,0,193,11,0,97200,83,-1625,0,-165,-376,2670,0,0,24,0,611
South Dakota,3,Republicans,754844,0,2083,0,4134,997,0,0,0,4,2,3145,10361,0,1495,0,4850,773,0,0,0,17,1,2498,9617,0,588,0,-716,224,0,0,0,1,647,744
Tennessee,11,Republicans,5689283,1001,31168,0,7418,11296,29578,15,0,121,151,38,80665,1004,30586,0,9581,9324,24960,12,0,135,136,46,75649,-3,582,0,-2163,1972,4618,3,0,15,-8,5016
Texas,38,Republicans,20851820,1735,121231,0,1103,227554,42079,2625,120,81,1108,57551,455106,1440,121554,0,956,237731,39355,2579,134,108,624,44833,449206,295,-323,0,147,-10177,2724,46,-14,484,12718,5900
Utah,6,Republicans,2233169,84,25897,530,816,8548,0,0,0,31,1023,827,37725,85,31656,430,769,8218,0,8,0,20,99,626,41891,-1,-5759,100,47,330,0,-8,0,924,201,-4166
Vermont,3,Democrats,608827,473,0,0,1056,0,0,0,0,0,155,293,1977,465,0,0,1139,1,0,0,0,3,102,325,2032,8,0,0,-83,-1,0,0,0,53,-32,-55
Virginia,13,Democrats,7078515,4124,16551,0,1526,40656,29732,0,0,537,65,0,92654,4144,17231,0,1158,33284,28060,0,0,1108,30,0,83907,-20,-680,0,368,7372,1672,0,0,35,0,8747
Washington,12,Democrats,5894121,2017,4602,0,76843,11172,9626,402,0,20,89,8042,112793,1991,5052,0,73405,13046,8161,395,0,22,56,7075,109181,26,-450,0,3438,-1874,1465,7,0,33,967,3612
West Virginia,5,Republicans,1808344,5,71412,0,1410,1227,0,25,0,123,6,1432,75517,5,68056,0,1385,1304,0,29,0,140,4,1376,72159,0,3356,0,25,-77,0,-4,0,2,56,3358
Wisconsin,10,Republicans,5363675,1422,33370,0,2405,15720,10151,0,120,26,38,1521,64747,1571,37181,0,2341,13399,10008,0,181,27,29,1589,66299,-149,-3811,0,64,2321,143,0,-61,9,-68,-1552
Wyoming,3,Republicans,493782,0,39770,0,998,758,0,358,0,45,3,4363,46250,0,43091,0,868,722,0,405,0,45,3,3757,48846,0,-3321,0,130,36,0,-47,0,0,606,-2596
